URL,Beds,Baths,Description,fee?
https://www.hotpads.com/161-kelton-st-allston-ma-02134-skg880/33r/pad,studio,1,- studio apartment in allston on kelton st. - available for september 1st - heat and hot water included - laundry in building - student friendly - cat friendly - no broker fee - hardwood floors - public transportation: green line (b) at warren st or allston st. (3 min walk),no
https://www.hotpads.com/225-kelton-st-allston-ma-02134-skkhrm/22/pad,studio,1,"available for september no broker fee! - new - giant closet in the hallway for storage - big bay windows and drenched with sun in the main living area - galley kitchen with some extra space for a small table - separate foyer, kitchen, and living area - heat and hot water is included in the rent - laundry is downstairs - on site maintenance one door over - responsive management! - unit is on the first floor right on the green line b train allston st or griggs street stop train station. super 88 market. quick walk to bfresh bu boston university and bus access to 57, 66, and 64 bus lines into central square to pick up the red line train. please give me a call at the number in the photos or email me.",no
https://www.hotpads.com/44-boylston-st-boston-ma-02116-sktnm5/912/pad,studio,1,"luxury living on boston commons an impressive location, modern apartments and first-class tenant services combine to make these units boston's most convenient locations to experience true city living. situated on the corner of boylston st & tremont st, across from the boston common, building was originally opened as the hotel touraine in 1897. several renovations to modernize the apartments, the building still has its historical charm. no broker fee! community amenities: 24-hour security on-site management 24-hour concierge desk laundry facilities on each floor package delivery receiving services easy access to mbta red-line (park st. stop) .3 mile easy access to mbta orange-line (chinatown stop) .3 mile easy access to mbta green-line (boylston st. stop) .01 mile",no
https://www.hotpads.com/8-lincoln-st-newton-highlands-ma-02461-1pxh2aa/pad,studio,1,"no broker fee lovely studios with free over night parking, conveniently located in newton highlands. the apartments are located across the street from the newton highlands stop on the ""d"" line and are just minutes from routes 9, 128, and 90. the building is surrounded by local shops and restaurants, and just one mile from crystal lake.",no
https://www.hotpads.com/100-kingston-st-boston-ma-02111-tgk2x0/s1/pad,studio,1,"no broker fee no last month low security with approved credit sweeping city views fitness center live in luxury and walk to the office, south station, park street!",no
https://www.hotpads.com/1377-commonwealth-ave-allston-ma-02134-snw6wa/2/pad,studio,1,"no broker fee_ available september for 12 month lease- huge front facing spacious studio plus alcove apartment located in allston. includes heat and hot water, hardwood floors throughout the apartment. big windows. renovated eat in kitchen . tiled bathroom.. laundry facilities available on site. apartment is cable/internet-ready. perfect for graduates, or working professionals. cats allowed. this apartment is a short distance to the harvard and comm ave center of allston village. bang a quick right up harvard and be in the coolidge corner area. there is the grigg's st t stop right outside the front door. you can literally see it pull up from the window. to view this apartment or for any questions, please send inquires about this apartment to dave.",no
https://www.hotpads.com/82-84-gordon-st-brighton-ma-02135-239vg5y/pad,studio,1,"this is an outdoor parking spot available for rent at 82-84 gordon st brighton for $250/month. the owner prefers a 6+ month contract. rent payment is due at the beginning of each month, starting september 1, 2023. for more information call naz at eight five seven, two three zero, nine three, three one. no broker fee.",no
https://www.hotpads.com/277-harvard-st-cambridge-ma-02139-1j4uzwk/1/pad-for-sublet,studio,1,"cambridge-mid on harvard street, lovely furnished studio apartment in beautiful historic building near harvard, mit, the red line at central and clubs and restaurants. the apartment consists of a bedroom/living room combination, wood floors, kitchen area, full bath, laundry access, large yard, gardening options and parking friendly pet ok, available january 1st, length of tenancy negotiable for short term, 2500 includes gas, electricity and wifi, by broker/owner, no fee sander re",no
https://www.hotpads.com/125-sutherland-rd-brighton-ma-02135-smqd1r/a/pad,2,1,-heat and hot water included -laundry in the building -cats allowed -easy access to the t -clean updated bathroom -modern eat in kitchen no broker fee call/text sandra today! available 24/7 city central realty has many listings with flexible move dates - and we are always available 7 days a week by appointment! disclaimer: the rental market moves quickly; this unit may no longer be available.,no
https://www.hotpads.com/52-parkman-st-brookline-ma-02446-skfb2j/1b/pad,2,1,-prime location! -spacious -heat and hot water included -laundry in the building -cats allowed -easy access to the t -clean updated bathroom -modern eat in kitchen -no broker fee -students ok call/text sandra today! available 24/7 city central realty has many listings with flexible move dates - and we are always available 7 days a week by appointment! disclaimer: the rental market moves quickly; this unit may no longer be available.,no
