URL,Description,character_count,Monthly Rent,Beds,Baths,Sqft
https://www.hotpads.com/63-hancock-st-boston-ma-02114-skepsz/5f/pad,"BEAUTIFUL, MODERN 1 BEDROOM IN A PRIME LOCATION!! Steps to Suffolk, MGH, and Emerson! Features: *modern kitchen w/ dishwasher *laundry in building *gleaming hardwood floors *prime location *lots of windows letting in great natural light *modern bath This unit is walking distance to Charles MGH as well as the many stores and restaurants in one of the most sought after neighborhoods in the city! Beacon Hill is an optimal location being surrounded by the Back Bay, Downtown, West End, and the North End! Great location for working professionals!",,"$2,850 ",1,1,500
https://www.hotpads.com/1788-commonwealth-ave-brighton-ma-02135-t0w79t/1/pad,"This 5 bedroom, 2 bathroom unit features hardwood floors and laundry in the basement. It is steps away from Green Line, Chiswick Road T stop, and has convenient access to stores and restaurants. Street parking is available with a residential permit sticker. Tandem off street parking is available for an additional cost. Plus, we are pet friendly, Cats $150/month and Dogs $200/month upon landlords approval/. Security deposit is also negotiable. The best part is Heat and Hot water are included!",,"$5,650 ",5,2,1700
https://www.hotpads.com/48-appleton-st-boston-ma-02116-sw31nb/pad,"Beautifully renovated single family townhouse on one of the most desirable streets in the South End. This home is complete with 4 bedrooms, 3 1/2 bathrooms, 5 zone heating and central air conditioning. One of the most unique features is the Great Room spanning the entire second floor with fireplace and high ceilings perfect for grand entertaining and everyday living. The chef's kitchen located on the parlor level offers excellent counter and cabinet space, stainless appliances and a breakfast bar for casual dining. A powder room and large dining area facing Appleton street complete this level. The top 2 floors house 3 spacious bedrooms, 2 well appointed bathrooms and access to a spectacular 2 level roof deck with amazing views. Depending on your needs the garden level with a full bath and a large storage room could be an additional bedroom and/or family room or au pair suite with access to a sunny brick patio.",,$14k,4,3.5,3728
https://www.hotpads.com/arlington-ma-02474-skt876/pad,"**More Photos of inside of the unit coming soon Charming top floor unit on Mass Ave! This unit is located in a mixed use brick building. Lots of windows to let in lots of light! This spacious 700 sq ft unit has hardwood floors, a beautiful foyer, and some storage in the basement. Unit is located next to bus routes 77,79, and 350. Building is also 3 streets from Spy Pond, near the Minuteman Bikeway, and less than 2 miles from Porter Sq. in Cambridge! Includes heat, hot water, and parking. This unit does NOT include electricity. Building has coin-op laundry in the basement. First and last month's rent are required, as well as a 1/2 brokers fee. Don't miss out on this unit! Contact us today to schedule a viewing and seize this fantastic offer before it's gone!",,"$2,250 ",1,1,
https://www.hotpads.com/15-irvington-rd-somerville-ma-02144-1j4vujm/1c/pad,"2 bedroom apartment in West Somerville / Tufts area. 2 good sized bedrooms, living room and formal dining room. Hardwood floors throughout, eat-in kitchen with dishwasher/disposal, back deck and free laundry in the basement. (Reference #141896)",,"$2,800 ",2,1,900
https://www.hotpads.com/30-auburn-st-charlestown-ma-02129-1j4rp04/1/pad,"Short Term Furnished Rental. Located on a tree lined street, this oversized 1+BR/1BA unit features soaring 10' ceilings, light from three sides, and a newly completed renovation, showcasing the perfect blend of period detail and modern designer finishes. A spacious living/dining parlor room with marble mantel opens via antique pocket doors to a stunning chef's kitchen with navy and white cabinetry, quartz countertops, tile backsplash w/floating shelves, and high end appliances incl. a custom Italian 36"" range. Well placed, full bathroom with quartz topped white vanity, recessed medicine cabinet, gorgeous subway tiled shower, and hexagon mosaic floor. A serene bedroom with a custom closet is tucked at the rear for privacy. Just off the bedroom is a bonus room with large window and home office space. Amenities include: central air conditioning, and in-unit W/D. Furnishings will be designer quality, and all cook wear, linens, dishes, etc will be provided. Available late August. Pets negotiable.",,"$4,000 ",1,1,850
https://www.hotpads.com/28-flagg-st-cambridge-ma-02138-1vah8r9/2/pad,"Enjoy all of what Harvard Square has to offer is this large & bright two-level unit.The large eat-in kitchen was modernly renovated in February 2021 with new flooring, countertops & white shaker style cabinets. Right off of the kitchen is a deck perfect for dining alfresco & entertaining. The kitchen is large enough for a dining table w/ has ample storage. Bedrooms are located on the second level, both bedrooms have large walk-in closets & hardwood floors. The large bathroom was renovated in February 2021 w/ built-in shelving for storage. Pet friendly with owner approval. Located adjacent to a lovely park, the Charles river & much more! Large basement storage cage & common coin-op laundry. Parking on-street w/ Cambridge permit. Utilities not included; tenant responsible for gas & electric.",,"$3,300 ",2,1,932
https://www.hotpads.com/264-elm-st-cambridge-ma-02139-238yufq/1/pad,"A delightful and inviting home situated in a picturesque neighborhood. This charming property offers a comfortable and practical living space, making it an excellent choice for those seeking a cozy haven to call their own. The kitchen is efficiently designed and offers ample counter space, cabinetry, and modern appliances, providing everything you need to prepare delicious meals. Adjacent to the kitchen, you'll find the dining area, perfect for enjoying daily meals with loved ones or hosting intimate gatherings. excellent location, offering both convenience and tranquility. The neighborhood is known for its friendly atmosphere and is within proximity to parks, schools, shopping centers, and dining options. Easy access to major roads ensures smooth commutes to nearby areas and attractions.",,"$7,000 ",4,4.5,2000
https://www.hotpads.com/1-concord-sq-boston-ma-02118-tu9h05/1/pad,"Discover this charming one-bedroom brownstone apartment nestled in the marvelous South End! Move-in ready by 9/1, it's the perfect opportunity to relish the enchanting fall season in the heart of the city. With a host of amenities just steps away, including acclaimed restaurants, cozy coffee shops, prestigious Northeastern University, renowned Boston Medical Center, iconic Fenway Park, convenient Public Transportation, and so much more, you'll be in the center of it all! This updated basement-level unit boasts elegant granite countertops, a generously sized living room, a private outdoor deck, and the added convenience of free laundry. To top it off, hot water and gas costs are thoughtfully included in the rent. Pet arrangements can be discussed, making this a truly inviting and flexible living space.",,"$2,400 ",1,1,560
https://www.hotpads.com/4-haskell-st-boston-ma-02134-sw1cnk/pad-for-sublet,This is a Boston Apartment located at 4 Haskell St. The property features 6 BR rental units available starting at $950. Contact us for a showing.,,"$5,700 - $6,150",6,2,
